Arttırılabilir Azami Bellek,Bağlantılar,Bağlantılar,Bağlantılar (İkincil),Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran Kartı,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Kartı,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme Hızı,Ekran Yenileme Hızı,Ekran Özelliği,Garanti Süresi,Garanti Süresi,Garanti Tipi,Görüntü Kalitesi,HDMI,Hard Disk Kapasitesi,Kapasite,Klavye,Kullanım Amacı,Kullanım Amacı,Maksimum islemci Hızı (GHz),Maksimum İşlemci Hızı (GHz).1,Okula Dönüş,Optik Sürücü Tipi,Optik Sürücü Tipi.1,Panel Tipi,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Renk,SSD Kapasitesi,SSD Teknolojisi,Soket Tipi,Temel işlemci Hızı (GHz),Temel İşlemci Hızı (GHz),çözünürlük,çözünürlük Standartı,işlemci Modeli,işlemci Nesli,işlemci Tipi,işlemci çekirdek Sayısı,işletim Sistemi,şarjlı Kullanım Süresi,Çözünürlük.1,Çözünürlük Standartı.1,İşlemci Frekansı.1,İşlemci Modeli.1,İşlemci Nesli.1,İşlemci Tipi.1,İşlemci Çekirdek Sayısı.1,İşletim Sistemi.1,Şarjlı Kullanım Süresi.1,url,prices
,,,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,HP Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ev - Okul,,,,,,,,,8 GB,DDR4,Gri,256 GB,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//hp/250-g8-core-i5-1135g7-islemci-8gb-ram-256gb-ssd-15-6-fhd-freedos-laptop-komur-grisi-853u8es-p-773440890?boutiqueId=61&merchantId=275331,10.499 TL
,,,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",,,,,AMD Radeon Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmasız),,Ev - Okul,,4.3,,,,TN,,,16 GB,DDR4,Gri,512 GB,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,5700U,5. Nesil,AMD Ryzen 7,8,Free Dos,6 Saat ve Üstü,https://www.trendyol.com//lenovo/ideapad-amd-ryzen-7-5700u-16gb-512gb-ssd-freedos-15-6-82r4006ftra38-p-752653765?boutiqueId=631546&merchantId=155616,13.499 TL
,,,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ev - Okul,,,,,,,,,4 GB,DDR4,Gri,SSD Yok,,,,,,,,,,,,,1366 x 768,HD Ready (HD),,N4120,4. Nesil,Intel Celeron,4,Free Dos,,https://www.trendyol.com//lenovo/ideapad1-intel-celeron-n4120-4gb-128gb-emmc-dos-15-6-cloud-grey-laptop-lenovo-turkiye-garantili-p-652489295?boutiqueId=61&merchantId=110963,6.548 TL
,,,,,,2 kg ve Altı,Yok,14 inç,,,,,Dahili Ekran Kartı,Belirtilmemiş,Paylaşımlı,Dahili,,Belirtilmemiş,,,2 Yıl,Apple Türkiye Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,,,,,,,,32 GB,Belirtilmemiş,Gri,1 TB,,,,,,,,,,,,,3024 x 1964,Retina,,Belirtilmemiş,Belirtilmemiş,M2,12,Mac Os,,https://www.trendyol.com//apple/macbook-pro-14-m2-max-32gb-1tb-ssd-space-gray-laptop-apple-turkiye-garantili-mphg3tu-a-p-637235159?boutiqueId=623361&merchantId=968&advertItems=eyJhZHZlcnRJZCI6IjA3MmU4ZWE1LTA1YjEtNGU2ZC05MmYwLTg4ZmE0MDJjNWJlNyIsInNvcnRpbmdTY29yZSI6MC4xMDc0NDEwMjAwMTE5MDE4NywiYWRTY29yZSI6MC4wNDg4MzY4MjcyNzgxMzcyMSwiYWRTY29yZXMiOnsiMSI6MC4wNDg4MzY4MjcyNzgxMzcyMSwiMiI6MC4wNDg4MzY4MjcyNzgxMzcyMX0sImNwYyI6Mi4yLCJtaW5DcGMiOjAuMDEsImVDcGMiOjEuOTgyMzMzMDEzNjQ5MzI4MiwiYWR2ZXJ0U2xvdCI6MSwib3JkZXIiOjMsInNlYXJjaFRlcm0iOiJsYXB0b3AiLCJhdHRyaWJ1dGVzIjoiIn0=,104.999 TL
,,,Bluetooth - HDMI,,,2 kg ve Altı,Yok,14 inç,,,,,Intel Iris Graphics,DDR,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Huawei Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmasız),,Ofis - İş,,,,,,,,,8 GB,LPDDR4,Gri,512 GB,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,1155G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//huawei/matebook-d14-intel-core-i5-1155g7-8gb-512gb-ssd-14-w11-dizustu-bilgisayar-huawei-turkiye-garanti-p-664355420?boutiqueId=623361&merchantId=968,14.999 TL
,,,Bluetooth,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel UHD Graphics 600,Belirtilmemiş,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,2.8,,,Yok,TN,,,4 GB,LPDDR4,Gri,120 GB,,,,1.1,,,,,,,,,1366 x 768,HD Ready (HD),,N4020,Belirtilmemiş,Intel Celeron,2,Windows,,https://www.trendyol.com//casper/nirvana-c370-4020-4c00b-intel-celeron-n4020-4gb-ram-120gb-ssd-windows-11-home-15-6-hd-p-358003688?boutiqueId=61&merchantId=129813,6.939 TL
,,,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel UHD Graphics 600,SD,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Asus Distribütör Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmasız),,Ofis - İş,,,,,,,,,16 GB,DDR4,Gümüş,1 TB,,,,,,,,,,,,,1366 x 768,HD Ready (HD),,N4020,5. Nesil,Intel Celeron,2,Free Dos,,https://www.trendyol.com//asus/x515ma-br918a6-n4020-16gb-1tbssd-15-6-hd-freedos-tasinabilir-bilgisayar-p-700499490?boutiqueId=61&merchantId=106664&advertItems=eyJhZHZlcnRJZCI6IjQwMDJmNTQ4LTRkODItNGVmZS04ODMwLWU0MTRjN2E0YjkzNSIsInNvcnRpbmdTY29yZSI6MC4wOTU4MzQxMjM1NDQzOTQ5OCwiYWRTY29yZSI6MC4wNDY4Mzk3NDc1Nzc5MDU2NTUsImFkU2NvcmVzIjp7IjEiOjAuMDQ2ODM5NzQ3NTc3OTA1NjU1LCIyIjowLjA0NjgzOTc0NzU3NzkwNTY1NX0sImNwYyI6Mi4wNDYwMDAwMDAwMDAwMDAzLCJtaW5DcGMiOjAuMDEsImVDcGMiOjEuODUyNDc5OTAxNTU2NzQxNywiYWR2ZXJ0U2xvdCI6Miwib3JkZXIiOjcsInNlYXJjaFRlcm0iOiJsYXB0b3AiLCJhdHRyaWJ1dGVzIjoiIn0=,13.789 TL
,,,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",,,,,AMD Radeon Graphics,SD,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Lenovo Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ofis - İş,,3.5,,,,TN,,,8 GB,LPDDR5,Gri,256 GB,,,,2.4,,,,,,,,,1920 x 1080,Full HD (FHD),,Belirtilmemiş,7. Nesil,AMD Athlon,2,Free Dos,,https://www.trendyol.com//lenovo/v15-82yu00metx-7120u-8gb-256ssd-15-6-fullhd-freedos-tasinabilir-bilgisayar-p-744832721?boutiqueId=626264&merchantId=514546,8.199 TL
,,,HDMI,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,,144 Hz,,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),,Oyun,,,,,,IPS,,,16 GB,DDR5,Siyah,512 GB,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,12500H,12. Nesil,Intel Core i5,12,Free Dos,,https://www.trendyol.com//acer/nitro5-intel-core-i5-12500h-16gb-512gb-ssd-6gb-rtx4050-dos-15-6-gaming-laptop-acer-turkiye-garanti-p-741177835?boutiqueId=61&merchantId=169540,26.949 TL
,,,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel Iris Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,,,,,,,,32 GB,DDR4,Gri,1 TB,Gen 4,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,1235U,12. Nesil,Intel Core i5,10,Free Dos,,https://www.trendyol.com//casper/nirvana-x600-1235-df00x-g-f-intel-core-i5-1235u-32gb-ram-1tb-nvme-ssd-gen4-freedos-p-786588766?boutiqueId=61&merchantId=129813&advertItems=eyJhZHZlcnRJZCI6IjdmMzViMGE5LWM3NzItNDQ5OC05NmNlLTZhYWI5ZDNkMzJkYyIsInNvcnRpbmdTY29yZSI6MC4wODU4MzI4OTY4NTEwMDMxOSwiYWRTY29yZSI6MC4wMzI2NDg0OTYzMjk3ODQzOSwiYWRTY29yZXMiOnsiMSI6MC4wMzI2NDg0OTYzMjk3ODQzOSwiMiI6MC4wMzI2NDg0OTYzMjk3ODQzOX0sImNwYyI6Mi42MjkwMDAwMDAwMDAwMDA0LCJtaW5DcGMiOjAuMDEsImVDcGMiOjIuNTg5MDYyODUwMzgxNjIyNiwiYWR2ZXJ0U2xvdCI6Mywib3JkZXIiOjExLCJzZWFyY2hUZXJtIjoibGFwdG9wIiwiYXR0cmlidXRlcyI6IiJ9,16.999 TL
